INSTNM,CITY,STABBR,CONTROL,UGDS,C150_4,COSTT4_A,COSTT4_A_IMP,TUITIONFEE_IN,TUITIONFEE_IN_IMP,TUITIONFEE_OUT,TUITIONFEE_OUT_IMP,PCTPELL,GRAD_DEBT_MDN,MD_EARN_WNE_P10,ROI,ZIP,LATITUDE,LONGITUDE
ASPIRA City College,Philadelphia,PA,2,8.0,,18252.0,18252.0,12147.0,12147.0,12147.0,12147.0,0.7857,,34857.0,2.0945003872966694,19140-2302,40.017493,-75.135042
Millersville University of Pennsylvania,Millersville,PA,1,5728.0,0.5763,26913.0,26913.0,11128.0,11128.0,22952.0,22952.0,0.2731,23507.0,55246.0,1.948593563334902,17551-0302,40.000337,-76.357381
Misericordia University,Dallas,PA,2,1672.0,0.7171,53648.0,53648.0,40370.0,40370.0,40370.0,40370.0,0.2719,26973.0,64313.0,3.3366815418344657,18612-1098,41.345277,-75.971541
Montgomery County Community College,Blue Bell,PA,1,7301.0,,16233.0,16233.0,6690.0,6690.0,17250.0,17250.0,0.2904,12349.0,46108.0,1.4082588704780081,19422-0796,40.175609,-75.276093
Moore College of Art and Design,Philadelphia,PA,2,535.0,0.5714,71327.0,71327.0,52812.0,52812.0,52812.0,52812.0,0.4333,26000.0,37839.0,7.540051269853855,19103-1179,39.957078,-75.172105
Moravian University,Bethlehem,PA,2,1949.0,0.7169,65601.0,65601.0,53500.0,53500.0,53500.0,53500.0,0.319,26793.0,61860.0,4.241901066925315,18018-6650,40.630947,-75.383638
Mount Aloysius College,Cresson,PA,2,1094.0,0.5691,40435.0,40435.0,27072.0,27072.0,27072.0,27072.0,0.1543,24287.0,46165.0,3.5035199826708547,16630-1999,40.459679,-78.600898
Muhlenberg College,Allentown,PA,2,1727.0,0.8223,77270.0,77270.0,62805.0,62805.0,62805.0,62805.0,0.212,25455.0,69107.0,4.472484697642786,18104,40.596416,-75.508502
Neumann University,Aston,PA,2,1533.0,0.5368,57180.0,57180.0,39100.0,39100.0,39100.0,39100.0,0.4277,27000.0,57817.0,3.9559299168064754,19014-1298,39.874876,-75.440022
New Castle School of Trades,New Castle,PA,3,700.0,,,31946.0,,16657.0,,16657.0,0.6203,9567.0,44814.0,2.851430356584996,16101,41.035228,-80.401417
Northampton County Area Community College,Bethlehem,PA,1,7667.0,,18119.0,18119.0,5550.0,5550.0,15270.0,15270.0,0.4016,15495.0,41566.0,1.7436366260886302,18020-7599,40.67253,-75.32351
Heritage Valley Health System School of Nursing,McKees Rocks,PA,2,71.0,,29767.0,29767.0,22800.0,22800.0,22800.0,22800.0,0.1731,,79831.0,1.4915007954303465,15136,40.472356,-80.091066
Orleans Technical College,Philadelphia,PA,2,340.0,,,46093.0,,29060.0,,29082.0,0.5079,7521.0,38668.0,4.76807696286335,19114-1014,40.090338,-75.011324
Salus University,Elkins Park,PA,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,19027-6262,40.085774,-75.129511
Pennsylvania Institute of Technology,Media,PA,2,810.0,0.2105,23995.0,23995.0,14850.0,14850.0,14850.0,14850.0,0.8006,16500.0,35703.0,2.688289499481836,19063-4098,39.908335,-75.38893
Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,1,3240.0,0.4363,34081.0,34081.0,15972.0,15972.0,26958.0,26958.0,0.2889,25000.0,63435.0,2.1490344447071807,16563-0001,42.119417,-79.983818
Pennsylvania State University-Penn State Great Valley,Malvern,PA,1,540.0,,,17783.0,,5507.0,,11010.0,0.3984,25000.0,63435.0,1.1213368014503036,19355-1488,40.052444,-75.522409
Pennsylvania State University-Penn State New Kensington,New Kensington,PA,1,416.0,0.2761,26863.0,26863.0,14408.0,14408.0,24134.0,24134.0,0.318,25000.0,63435.0,1.6938913848821628,15068-1765,40.551056,-79.697461
Pennsylvania State University-Penn State Shenango,Sharon,PA,1,256.0,0.4194,26821.0,26821.0,14024.0,14024.0,23560.0,23560.0,0.3916,25000.0,63435.0,1.6912430046504296,16146-1537,41.235131,-80.50924
Pennsylvania State University-Penn State Wilkes-Barre,Dallas,PA,1,313.0,0.2273,25994.0,25994.0,14280.0,14280.0,24006.0,24006.0,0.3937,25000.0,63435.0,1.6390951367541577,18627-0217,41.305602,-76.016151
Pennsylvania State University-Penn State Scranton,Dunmore,PA,1,793.0,0.3929,27862.0,27862.0,15208.0,15208.0,25392.0,25392.0,0.4182,25000.0,63435.0,1.7568850003941041,18512-1602,41.439843,-75.621401
Pennsylvania State University-Penn State Lehigh Valley,Center Valley,PA,1,859.0,0.1783,28109.0,28109.0,15208.0,15208.0,25392.0,25392.0,0.3501,25000.0,63435.0,1.7724599984235831,18034-8447,40.559201,-75.40267
Pennsylvania State University-Penn State Altoona,Altoona,PA,1,2367.0,0.165,32559.0,32559.0,15972.0,15972.0,26958.0,26958.0,0.2937,25000.0,63435.0,2.0530621896429415,16601-3777,40.541759,-78.409601
Pennsylvania State University-Penn State Beaver,Monaca,PA,1,482.0,0.2174,26210.0,26210.0,14408.0,14408.0,24134.0,24134.0,0.3194,25000.0,63435.0,1.652715377945929,15061-2764,40.678271,-80.296316
Pennsylvania State University-Penn State Berks,Reading,PA,1,1872.0,0.3152,32242.0,32242.0,15972.0,15972.0,26958.0,26958.0,0.2876,25000.0,63435.0,2.0330732245605736,19610-1016,40.358839,-75.97329
Pennsylvania State University-Penn State Harrisburg,Middletown,PA,1,4031.0,0.2612,32521.0,32521.0,15972.0,15972.0,26958.0,26958.0,0.2613,25000.0,63435.0,2.050666036099945,17057-4846,40.204253,-76.741216
Pennsylvania State University-Penn State Brandywine,Media,PA,1,1223.0,0.2598,31088.0,31088.0,15208.0,15208.0,25392.0,25392.0,0.3369,25000.0,63435.0,1.960305824860093,19063-5522,39.927123,-75.449704
Pennsylvania State University-Penn State DuBois,DuBois,PA,1,349.0,0.3381,28530.0,28530.0,14408.0,14408.0,24134.0,24134.0,0.2946,25000.0,63435.0,1.7990068574131,15801-2549,41.127184,-78.751554
Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,1,402.0,0.3862,25154.0,25154.0,14408.0,14408.0,24134.0,24134.0,0.3866,25000.0,63435.0,1.5861275321194923,15456-1025,39.946455,-79.659317
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,1,501.0,0.2615,29677.0,29677.0,15208.0,15208.0,25392.0,25392.0,0.4275,25000.0,63435.0,1.871332860408292,18202-8025,40.98396,-76.030975
Pennsylvania State University-Main Campus,University Park,PA,1,42284.0,0.8609,39694.0,39694.0,20644.0,20644.0,41790.0,41790.0,0.1388,25000.0,63435.0,2.502971545676677,16802-1503,40.7965,-77.862848
Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,1,349.0,0.1897,26214.0,26214.0,14408.0,14408.0,24134.0,24134.0,0.4127,25000.0,63435.0,1.6529676046346653,15132-7644,40.345591,-79.827428
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,1,559.0,0.3365,28841.0,28841.0,14408.0,14408.0,24134.0,24134.0,0.2675,25000.0,63435.0,1.818617482462363,17237-9700,39.842212,-77.541797
Pennsylvania State University-Penn State Abington,Abington,PA,1,2877.0,0.1975,28795.0,28795.0,15268.0,15268.0,25664.0,25664.0,0.3877,25000.0,63435.0,1.8157168755418933,19001-3918,40.117101,-75.110724
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,1,620.0,0.3188,30065.0,30065.0,15208.0,15208.0,25392.0,25392.0,0.4046,25000.0,63435.0,1.8957988492157327,17972-2202,40.640512,-76.166374
Pennsylvania State University-Penn State York,York,PA,1,668.0,0.1627,27826.0,27826.0,15208.0,15208.0,25392.0,25392.0,0.302,25000.0,63435.0,1.7546149601954757,17403-3326,39.95283,-76.703486
Peirce College,Philadelphia,PA,2,799.0,0.1,18660.0,18660.0,15060.0,15060.0,15060.0,15060.0,0.5278,31250.0,50660.0,1.4733517568101067,19103-5443,39.949623,-75.168105
Penn Commercial Business/Technical School,Washington,PA,3,265.0,,23804.0,23804.0,13654.0,13654.0,13654.0,13654.0,0.4126,11638.0,31736.0,3.0002520796571717,15301-6822,40.182387,-80.238844
Pennco Tech-Bristol,Bristol,PA,3,771.0,,,31946.0,,16657.0,,16657.0,0.6013,7917.0,43493.0,2.938036005794036,19007,40.097992,-74.870959
Pennsylvania Academy of the Fine Arts,Philadelphia,PA,2,23.0,0.5758,66106.0,66106.0,44600.0,44600.0,44600.0,44600.0,0.3535,22309.0,29881.0,8.849235300023427,19102-1510,39.955692,-75.163456
Pennsylvania Gunsmith School,Pittsburgh,PA,3,64.0,,,31946.0,,16657.0,,16657.0,0.3371,,40747.0,3.136034554691143,15202-2637,40.496672,-80.068863
Cortiva Institute,King of Prussia,PA,3,125.0,,,31946.0,,16657.0,,16657.0,0.2243,8677.0,32094.0,3.981554184582788,19406,40.08063,-75.378356
Pennsylvania College of Art and Design,Lancaster,PA,2,400.0,0.6852,43815.0,43815.0,32150.0,32150.0,32150.0,32150.0,0.4737,27000.0,33301.0,5.262905017867332,17603-0059,40.041152,-76.308769
University of Pennsylvania,Philadelphia,PA,2,10650.0,0.9654,89028.0,89028.0,68686.0,68686.0,68686.0,68686.0,0.1653,15715.0,111371.0,3.1975289797164432,19104-6303,39.950929,-75.19391
Cairn University-Langhorne,Langhorne,PA,2,775.0,0.5968,46233.0,46233.0,34009.0,34009.0,34009.0,34009.0,0.3205,26926.0,44172.0,4.186634066829666,19047-2990,40.165809,-74.909509
Philadelphia College of Osteopathic Medicine,Philadelphia,PA,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,138767.0,1.3286444183415365,19131,40.004885,-75.216092
Community College of Philadelphia,Philadelphia,PA,1,11948.0,,19172.0,19172.0,4632.0,4632.0,12744.0,12744.0,0.5715,10750.0,40852.0,1.877215313815725,19130-3991,39.962458,-75.165604
University of Pittsburgh-Bradford,Bradford,PA,1,995.0,0.4761,30478.0,30478.0,14770.0,14770.0,26644.0,26644.0,0.4706,24250.0,66125.0,1.8436597353497164,16701,41.943415,-78.673701
University of Pittsburgh-Greensburg,Greensburg,PA,1,1305.0,0.397,30141.0,30141.0,14710.0,14710.0,26584.0,26584.0,0.3771,24250.0,66125.0,1.823274102079395,15601-5860,40.276447,-79.532676
University of Pittsburgh-Johnstown,Johnstown,PA,1,1808.0,0.5582,30349.0,30349.0,14906.0,14906.0,26780.0,26780.0,0.3237,24250.0,66125.0,1.8358563327032136,15904,40.265957,-78.834163
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,1,20370.0,0.855,38105.0,38105.0,21926.0,21926.0,41430.0,41430.0,0.1398,24250.0,66125.0,2.3050283553875235,15260,40.444388,-79.953254
University of Pittsburgh-Titusville,Titusville,PA,1,33.0,,25231.0,25231.0,11918.0,11918.0,22210.0,22210.0,0.5357,24250.0,66125.0,1.5262608695652173,16354,41.628697,-79.664156
Pittsburgh Institute of Aeronautics,West Mifflin,PA,2,663.0,,37350.0,37350.0,18730.0,18730.0,18730.0,18730.0,0.3841,12230.0,66642.0,2.2418294769064553,15122,40.350804,-79.926575
Pittsburgh Institute of Mortuary Science Inc,Pittsburgh,PA,2,351.0,,,46093.0,,29060.0,,29082.0,0.2289,19295.0,53524.0,3.444660339287049,15206-3706,40.459175,-79.930487
Pittsburgh Theological Seminary,Pittsburgh,PA,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,15206-2596,40.467347,-79.921397
Point Park University,Pittsburgh,PA,2,2331.0,0.5854,52643.0,52643.0,39570.0,39570.0,39570.0,39570.0,0.387,27000.0,45856.0,4.592027215631542,15222-1984,40.438768,-80.002061
Joseph F McCloskey School of Nursing,Pottsville,PA,2,100.0,,,46093.0,,29060.0,,29082.0,0.4727,14400.0,86138.0,2.140425828321995,17901,40.692149,-76.189544
The Salon Professional Academy-Altoona,Altoona,PA,3,83.0,,,31946.0,,16657.0,,16657.0,0.4202,6333.0,20809.0,6.140804459608823,16601-2419,40.467868,-78.404069
Reading Area Community College,Reading,PA,1,3703.0,,14563.0,14563.0,6480.0,6480.0,12510.0,12510.0,0.3469,8750.0,39082.0,1.490507138836293,19603,40.334861,-75.935086
Reading Hospital School of Health Sciences,Reading,PA,2,294.0,,29377.0,29377.0,12225.0,12225.0,12225.0,12225.0,0.3889,20885.0,74572.0,1.5757657029448051,19611,40.32606,-75.950474
Reconstructionist Rabbinical College,Wyncote,PA,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,19095-1898,40.087689,-75.149506
Walnut Hill College,Philadelphia,PA,3,175.0,0.5763,35504.0,35504.0,29499.0,29499.0,29499.0,29499.0,0.315,18765.0,36689.0,3.8708059636403283,19104,39.955098,-75.20749
Robert Morris University,Moon Township,PA,2,2896.0,0.6569,51621.0,51621.0,35970.0,35970.0,35970.0,35970.0,0.233,26950.0,62105.0,3.3247564608324613,15108-1189,40.520415,-80.210468
Rosedale Technical College,Pittsburgh,PA,2,475.0,,29468.0,29468.0,17402.0,17402.0,17402.0,17402.0,0.6148,12000.0,47880.0,2.4618212197159566,15205-9791,40.45205,-80.103926
Rosemont College,Rosemont,PA,2,486.0,0.5714,38498.0,38498.0,23845.0,23845.0,23845.0,23845.0,0.4489,27000.0,48555.0,3.1714962413757593,19010-1699,40.033417,-75.32925
Saint Francis University,Loretto,PA,2,1557.0,0.7439,59815.0,59815.0,44000.0,44000.0,44000.0,44000.0,0.177,27000.0,62101.0,3.8527559942674032,15940,40.506734,-78.63904
Saint Joseph's University - Philadelphia,Philadelphia,PA,2,4948.0,0.7884,67954.0,67954.0,53260.0,53260.0,53260.0,53260.0,0.198,25500.0,86881.0,3.1286011901336312,19131-1395,39.994442,-75.238343
Saint Vincent College,Latrobe,PA,2,1259.0,0.6859,56752.0,56752.0,42396.0,42396.0,42396.0,42396.0,0.2672,27000.0,59982.0,3.784602047280851,15650-2690,40.29265,-79.403762
Saint Vincent Seminary,Latrobe,PA,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,27000.0,59982.0,3.073788803307659,15650-2690,40.29265,-79.403762
Schuylkill Technology Center,Frackville,PA,1,102.0,,,17783.0,,5507.0,,11010.0,0.3942,15275.0,49148.0,1.447302026532107,17931,40.775735,-76.22938
University of Scranton,Scranton,PA,2,3554.0,0.7979,69552.0,69552.0,53983.0,53983.0,53983.0,53983.0,0.2406,27000.0,74652.0,3.7267320366500565,18510-4699,41.406556,-75.656915
Seton Hill University,Greensburg,PA,2,1492.0,0.6736,56183.0,56183.0,42944.0,42944.0,42944.0,42944.0,0.3127,27000.0,51748.0,4.3428151812630436,15601,40.309407,-79.557433
UPMC Shadyside School of Nursing,Pittsburgh,PA,2,715.0,,33489.0,33489.0,16190.0,16190.0,16190.0,16190.0,0.3546,19666.0,68801.0,1.9470065842066249,15232,40.454751,-79.939494
Laurel Technical Institute,Hermitage,PA,3,163.0,,14270.0,14270.0,13431.0,13431.0,13431.0,13431.0,0.6063,10706.0,28311.0,2.0161774575253437,16148,41.189936,-80.463868
Shippensburg University of Pennsylvania,Shippensburg,PA,1,4086.0,0.557,30785.0,30785.0,13720.0,13720.0,15974.0,15974.0,0.2977,25000.0,56351.0,2.185231850366453,17257-2299,40.057933,-77.522335
Slippery Rock University of Pennsylvania,Slippery Rock,PA,1,6788.0,0.6557,25537.0,25537.0,10568.0,10568.0,14676.0,14676.0,0.3052,25000.0,53032.0,1.9261577915220998,16057-1383,41.062719,-80.045965
Saint Charles Borromeo Seminary-Overbrook,Ambler,PA,2,38.0,0.4167,,46093.0,25774.0,25774.0,25774.0,25774.0,0.0732,,55225.0,3.3385604345857853,19002,40.201235,-75.231732
South Hills Beauty Academy,Pittsburgh,PA,3,183.0,,,31946.0,,16657.0,,16657.0,0.0878,3431.0,23453.0,5.448514049375347,15216,40.38933,-80.041544
South Hills School of Business & Technology,State College,PA,3,260.0,,27981.0,27981.0,19905.0,19905.0,19905.0,19905.0,0.5083,16000.0,35539.0,3.149328906271983,16801-4516,40.775033,-77.855466
St Lukes Hospital School of Nursing,Bethlehem,PA,2,329.0,,,46093.0,,29060.0,,29082.0,0.35,14000.0,80244.0,2.2976421913164846,18015,40.607054,-75.394494
The Beauty Institute,Stroudsburg,PA,3,49.0,,,31946.0,,16657.0,,16657.0,0.5745,10830.0,30577.0,4.179088857638094,18360-1720,40.989612,-75.223872
Susquehanna University,Selinsgrove,PA,2,2163.0,0.8174,75410.0,75410.0,59850.0,59850.0,59850.0,59850.0,0.249,27000.0,61723.0,4.886995123373783,17870-1025,40.797502,-76.875329
Swarthmore College,Swarthmore,PA,2,1613.0,0.9227,84103.0,84103.0,65494.0,65494.0,65494.0,65494.0,0.1948,17500.0,80257.0,4.191684214461044,19081,39.905159,-75.354278
Thaddeus Stevens College of Technology,Lancaster,PA,1,1446.0,,18694.0,18694.0,9050.0,9050.0,9050.0,9050.0,0.433,9990.0,54681.0,1.3674951079899782,17602-3198,40.037951,-76.288718
Talmudical Yeshiva of Philadelphia,Philadelphia,PA,2,112.0,0.5,22680.0,22680.0,11512.0,11512.0,11512.0,11512.0,0.3583,,40747.0,2.226421577048617,19131,39.989249,-75.247964
Temple University,Philadelphia,PA,1,20970.0,0.7505,40903.0,40903.0,23011.0,23011.0,38958.0,38958.0,0.3197,24395.0,63727.0,2.5673890187832473,19122-6096,39.980546,-75.156859
Theological Seminary of the Reformed Episcopal Church,Oreland,PA,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,19075,40.102057,-75.182362
Thiel College,Greenville,PA,2,788.0,0.4873,53202.0,53202.0,38344.0,38344.0,38344.0,38344.0,0.4078,27000.0,49714.0,4.280645291064891,16125-2181,41.41354,-80.384383
Thomas Jefferson University,Philadelphia,PA,2,3755.0,0.6857,64197.0,64197.0,47505.0,47505.0,47505.0,47505.0,0.3747,14744.0,77449.0,3.3155754109155704,19107,39.948274,-75.158266
Triangle Tech Inc-Pittsburgh,Pittsburgh,PA,3,18.0,,35574.0,35574.0,18463.0,18463.0,18463.0,18463.0,0.6667,18084.0,51953.0,2.7389371162396783,15214-3897,40.462003,-80.012781
Triangle Tech Inc-Greensburg,Greensburg,PA,3,31.0,,29990.0,29990.0,18413.0,18413.0,18413.0,18413.0,0.42,12000.0,53788.0,2.2302372276344165,15601-3304,40.303168,-79.539468
Triangle Tech Inc-Dubois,Falls Creek,PA,3,20.0,,36076.0,36076.0,18462.0,18462.0,18462.0,18462.0,0.5823,12000.0,45538.0,3.168869954763055,15840-3333,41.147974,-78.795923
Trinity Anglican Seminary,Ambridge,PA,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,15003-2397,40.593403,-80.230178
Ursinus College,Collegeville,PA,2,1491.0,0.7328,76815.0,76815.0,61210.0,61210.0,61210.0,61210.0,0.2011,27000.0,73721.0,4.167876181820648,19426-1000,40.193023,-75.456505
University of Valley Forge,Phoenixville,PA,2,471.0,0.4904,45422.0,45422.0,25240.0,25240.0,25240.0,25240.0,0.4739,27000.0,39016.0,4.656756202583556,19460-2373,40.117835,-75.5469
Valley Forge Military College,Wayne,PA,2,90.0,,53511.0,53511.0,32176.0,32176.0,32176.0,32176.0,0.2941,9500.0,50798.0,4.213630457892043,19087-3695,40.053697,-75.382097
Venus Beauty Academy,Aston,PA,3,56.0,,,31946.0,,16657.0,,16657.0,0.3853,7388.0,22727.0,5.622563470761649,19014,39.855718,-75.422229
Villanova University,Villanova,PA,2,6938.0,0.9186,84793.0,84793.0,67776.0,67776.0,67776.0,67776.0,0.1202,25874.0,100423.0,3.3774334564790935,19085-1699,40.036463,-75.340502
Washington Health System School of Nursing,Washington,PA,2,37.0,,,46093.0,,29060.0,,29082.0,0.2821,14750.0,63504.0,2.9033131771227008,15301,40.183984,-80.245709
Washington & Jefferson College,Washington,PA,2,1295.0,0.6952,42972.0,42972.0,29392.0,29392.0,29392.0,29392.0,0.3115,27000.0,67918.0,2.5308165729261756,15301,40.170622,-80.24049
Waynesburg University,Waynesburg,PA,2,1009.0,0.6554,44397.0,44397.0,30480.0,30480.0,30480.0,30480.0,0.3816,27000.0,58537.0,3.0337735107709656,15370-1257,39.899871,-80.186205
Welder Training and Testing Institute,Allentown,PA,3,55.0,,,31946.0,,16657.0,,16657.0,0.2469,,55598.0,2.2983560559732363,18109-3253,40.626469,-75.447263
West Chester University of Pennsylvania,West Chester,PA,1,14164.0,0.7051,28394.0,28394.0,10775.0,10775.0,22599.0,22599.0,0.254,23500.0,61258.0,1.8540598778934996,19383,39.953398,-75.59812
Western Pennsylvania Hospital School of Nursing,Pittsburgh,PA,2,164.0,,29938.0,29938.0,13410.0,13410.0,13410.0,13410.0,0.3103,13838.0,56487.0,2.1199922105971285,15224,40.462132,-79.945111
Westminster College,New Wilmington,PA,2,1041.0,0.6455,53003.0,53003.0,40290.0,40290.0,40290.0,40290.0,0.2682,26060.0,53861.0,3.9362804255398154,16172,41.119272,-80.331017
Westminster Theological Seminary,Glenside,PA,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,19038,40.09815,-75.176327
Westmoreland County Community College,Youngwood,PA,1,2441.0,,10573.0,10573.0,6018.0,6018.0,14424.0,14424.0,0.2805,11000.0,37439.0,1.1296241886802532,15697-1895,40.234321,-79.564897
Widener University,Chester,PA,2,2951.0,0.6832,70621.0,70621.0,55730.0,55730.0,55730.0,55730.0,0.328,27000.0,70920.0,3.9831359278059786,19013-5792,39.861689,-75.355363
Wilkes University,Wilkes-Barre,PA,2,1985.0,0.6317,56765.0,56765.0,43496.0,43496.0,43496.0,43496.0,0.3446,26000.0,63454.0,3.578340214958868,18766,41.244199,-75.890262
Williamson College of the Trades,Media,PA,2,322.0,,37263.0,37263.0,31611.0,31611.0,31611.0,31611.0,0.6645,,40747.0,3.6579870910741894,19063-5299,39.90807,-75.422024
Wilson College,Chambersburg,PA,2,865.0,0.4815,39344.0,39344.0,27100.0,27100.0,27100.0,27100.0,0.2347,26328.0,43326.0,3.632368554678484,17201-1285,39.949659,-77.650712
Yeshivath Beth Moshe,Scranton,PA,2,34.0,1.0,20400.0,20400.0,10600.0,10600.0,10600.0,10600.0,0.5385,,40747.0,2.002601418509338,18505-2196,41.394852,-75.656191
York College of Pennsylvania,York,PA,2,3265.0,0.641,37319.0,37319.0,25588.0,25588.0,25588.0,25588.0,0.2808,26000.0,61012.0,2.4466662295941783,17403-3651,39.94614,-76.727984
YTI Career Institute-York,York,PA,3,642.0,,,31946.0,,16657.0,,16657.0,0.5207,13426.0,40672.0,3.141817466561762,17402,39.992432,-76.660321
Brown University,Providence,RI,2,7226.0,0.9569,87648.0,87648.0,71412.0,71412.0,71412.0,71412.0,0.1384,11428.0,93487.0,3.750168472621862,02912,41.82617,-71.40385
Bryant University,Smithfield,RI,2,3194.0,0.7975,69964.0,69964.0,52677.0,52677.0,52677.0,52677.0,0.1253,26849.0,90008.0,3.10923473469025,02917-1291,41.920092,-71.539547
Johnson & Wales University-Providence,Providence,RI,2,3868.0,0.5541,60314.0,60314.0,42419.0,42419.0,42419.0,42419.0,0.3004,26000.0,43418.0,5.556589432954074,02903-3703,41.819956,-71.41277
New England Institute of Technology,East Greenwich,RI,2,1718.0,0.5954,48543.0,48543.0,37275.0,37275.0,37275.0,37275.0,0.4334,16668.0,48684.0,3.9884150850382056,02818-1205,41.661783,-71.502892
New England Tractor Trailer Training School of Rhode Island,Pawtucket,RI,3,646.0,,,31946.0,,16657.0,,16657.0,0.5787,6333.0,53085.0,2.407158330978619,02860,41.880296,-71.405906
Providence College,Providence,RI,2,4229.0,0.8582,80466.0,80466.0,63550.0,63550.0,63550.0,63550.0,0.1343,27000.0,87054.0,3.6972913364118822,02918-0001,41.842742,-71.437446
Rhode Island College,Providence,RI,1,5049.0,0.4813,17454.0,17454.0,11300.0,11300.0,27299.0,27299.0,0.4205,20500.0,56318.0,1.239674704357399,02908,41.842415,-71.46556
Community College of Rhode Island,Warwick,RI,1,11171.0,,12725.0,12725.0,5550.0,5550.0,14834.0,14834.0,0.4665,10920.0,42659.0,1.1931831500972832,02886-1807,41.712817,-71.481509
University of Rhode Island,Kingston,RI,1,13381.0,0.7331,34321.0,34321.0,16942.0,16942.0,37146.0,37146.0,0.2176,22250.0,69743.0,1.9684269389042628,02881,41.484691,-71.527356
Rhode Island School of Design,Providence,RI,2,2084.0,0.8877,81727.0,81727.0,62688.0,62688.0,62688.0,62688.0,0.1482,27000.0,68140.0,4.797593190490168,02903-2784,41.827114,-71.409309
Roger Williams University,Bristol,RI,2,3946.0,0.6865,61950.0,61950.0,44418.0,44418.0,44418.0,44418.0,0.164,26940.0,70266.0,3.526598924088464,02809-2921,41.650214,-71.260374
Salve Regina University,Newport,RI,2,2121.0,0.7688,70630.0,70630.0,50100.0,50100.0,50100.0,50100.0,0.1507,27000.0,72975.0,3.871462829736211,02840-4192,41.471545,-71.30124
Empire Beauty School-Warwick,Providence,RI,3,107.0,,,31946.0,,16657.0,,16657.0,0.5973,10231.0,23589.0,5.417101191233202,02903,41.821724,-71.422425
Northpoint Bible College,Haverhill,MA,2,86.0,0.5435,29902.0,29902.0,14160.0,14160.0,14160.0,14160.0,0.5109,25000.0,42210.0,2.8336413172234067,01835,42.765357,-71.079335
Aiken Technical College,Graniteville,SC,1,1925.0,,13171.0,13171.0,5174.0,5174.0,7924.0,7924.0,0.4946,12250.0,39225.0,1.343123008285532,29829,33.533833,-81.841666
Allen University,Columbia,SC,2,576.0,0.1331,23998.0,23998.0,14304.0,14304.0,14304.0,14304.0,0.7654,34290.0,30497.0,3.1475882873725283,29204,34.010348,-81.020045
Anderson University,Anderson,SC,2,3183.0,0.6568,50192.0,50192.0,34970.0,34970.0,34970.0,34970.0,0.2077,26700.0,42101.0,4.76872283318686,29621-4035,34.5152,-82.640358
Charleston Southern University,Charleston,SC,2,2893.0,0.4724,44558.0,44558.0,32520.0,32520.0,32520.0,32520.0,0.3449,26471.0,45898.0,3.883219312388339,29406-9121,32.983047,-80.072587
Technical College of the Lowcountry,Beaufort,SC,1,1679.0,,23832.0,23832.0,6156.0,6156.0,11916.0,11916.0,0.3299,10000.0,35090.0,2.716671416357937,29901-1288,32.420197,-80.689468
Benedict College,Columbia,SC,2,1536.0,0.2426,32000.0,32000.0,17440.0,17440.0,17440.0,17440.0,0.6234,32500.0,31902.0,4.012287630869538,29204-1086,34.012941,-81.020403
Bob Jones University,Greenville,SC,2,2005.0,0.6475,36580.0,36580.0,24470.0,24470.0,24470.0,24470.0,0.3286,16585.0,44354.0,3.2989132885421832,29614-0001,34.874016,-82.365838
Southern Wesleyan University,Central,SC,2,747.0,0.5236,39914.0,39914.0,29800.0,29800.0,29800.0,29800.0,0.4307,26000.0,47756.0,3.3431610687662285,29630-1020,34.728068,-82.761586
Charleston Cosmetology Institute,Charleston,SC,3,100.0,,,31946.0,,16657.0,,16657.0,0.4754,5655.0,25812.0,4.950565628389896,29420,32.91777,-80.111988
College of Charleston,Charleston,SC,1,10558.0,0.6583,32362.0,32362.0,12978.0,12978.0,38296.0,38296.0,0.1883,23250.0,56416.0,2.294526375496313,29424-0001,32.784225,-79.939794
Northeastern Technical College,Cheraw,SC,1,921.0,,18221.0,18221.0,5664.0,5664.0,6024.0,6024.0,0.3473,,32141.0,2.267633241031704,29520,34.698248,-79.939245
Citadel Military College of South Carolina,Charleston,SC,1,2705.0,0.75,33880.0,33880.0,12570.0,12570.0,38508.0,38508.0,0.198,21096.0,72085.0,1.8800027745023236,29409,32.797183,-79.958775
Claflin University,Orangeburg,SC,2,1706.0,0.516,33530.0,33530.0,18282.0,18282.0,18282.0,18282.0,0.7349,29000.0,40304.0,3.327709408495435,29115-4498,33.498444,-80.854319
