INSTNM,CITY,STABBR,CONTROL,UGDS,C150_4,COSTT4_A,COSTT4_A_IMP,TUITIONFEE_IN,TUITIONFEE_IN_IMP,TUITIONFEE_OUT,TUITIONFEE_OUT_IMP,PCTPELL,GRAD_DEBT_MDN,MD_EARN_WNE_P10,ROI,ZIP,LATITUDE,LONGITUDE
SUNY Adirondack,Queensbury,NY,1,1844.0,,17087.0,17087.0,6844.0,6844.0,9616.0,9616.0,0.3177,14345.0,41267.0,1.6562386410449028,12804-1445,43.351839,-73.654813
Bryant & Stratton College-Albany,Albany,NY,2,240.0,0.2857,23359.0,23359.0,18374.0,18374.0,18374.0,18374.0,0.6245,21549.0,32568.0,2.868951117661508,12205,42.698125,-73.809977
Albany College of Pharmacy and Health Sciences,Albany,NY,2,481.0,0.6754,54899.0,54899.0,41475.0,41475.0,41475.0,41475.0,0.2888,25500.0,131426.0,1.6708718214052014,12208-3492,42.650371,-73.779063
Albany Law School,Albany,NY,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,12208,42.651818,-73.777495
Albany Medical College,Albany,NY,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,12208-3479,42.65382,-73.777289
Alfred University,Alfred,NY,2,1423.0,0.5698,57445.0,57445.0,41500.0,41500.0,41500.0,41500.0,0.3854,26000.0,54897.0,4.1856567754157785,14802-1205,42.254476,-77.788106
Allen School-Brooklyn,Brooklyn,NY,3,192.0,,,31946.0,,16657.0,,16657.0,0.9081,9500.0,34186.0,3.737904405312116,11201,40.693797,-73.991546
The Ailey School,New York,NY,2,94.0,,41968.0,41968.0,14817.0,14817.0,14817.0,14817.0,0.2386,17500.0,22782.0,7.368624352559038,10019-4402,40.766921,-73.986891
American Academy of Dramatic Arts-New York,New York,NY,2,187.0,,62554.0,62554.0,40650.0,40650.0,40650.0,40650.0,0.2889,12000.0,27019.0,9.26074244050483,10016,40.745545,-73.984843
American Academy McAllister Institute of Funeral Service,New York,NY,2,270.0,,26418.0,26418.0,20018.0,20018.0,20018.0,20018.0,0.3369,21150.0,54695.0,1.932023036840662,10036,40.757105,-73.986466
American Musical and Dramatic Academy,New York,NY,2,1438.0,0.7164,65647.0,65647.0,46928.0,46928.0,46928.0,46928.0,0.3276,15250.0,26975.0,9.734494902687674,10023,40.772275,-73.987549
Apex Technical School,Long Island City,NY,2,1400.0,,,46093.0,,29060.0,,29082.0,0.5907,9500.0,41093.0,4.486700897963157,11101,40.748807,-73.949306
Arnot Ogden Medical Center,Elmira,NY,2,52.0,,,46093.0,,29060.0,,29082.0,0.6207,,70775.0,2.605044154009184,14905-1676,42.101171,-76.828062
Associated Beth Rivkah Schools,Brooklyn,NY,2,254.0,0.7746,32924.0,32924.0,11200.0,11200.0,11200.0,11200.0,0.6367,,17686.0,7.446341739228768,11225-0000,40.666034,-73.949796
Bank Street College of Education,New York,NY,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,10025,40.805604,-73.966643
Bard College,Annandale-On-Hudson,NY,2,2414.0,0.6756,84553.0,84553.0,66436.0,66436.0,66436.0,66436.0,0.1667,24254.0,46543.0,7.266656640096255,12504-5000,42.020386,-73.909927
Barnard College,New York,NY,2,3264.0,0.9302,89538.0,89538.0,69888.0,69888.0,69888.0,69888.0,0.1586,18000.0,80516.0,4.44820905161707,10027-6598,40.810098,-73.963346
Berk Trade and Business School,Long Island City,NY,3,152.0,,,31946.0,,16657.0,,16657.0,0.367,6333.0,49748.0,2.568625874407011,11101-8120,40.745021,-73.930982
Berkeley College-New York,New York,NY,3,1449.0,0.4401,45041.0,45041.0,29800.0,29800.0,29800.0,29800.0,0.5228,30426.0,45884.0,3.926510330398396,10017,40.753986,-73.979458
Berkowits School of Electrolysis,Forest Hills,NY,3,102.0,,,31946.0,,16657.0,,16657.0,0.1277,,40747.0,3.136034554691143,11375-6820,40.709736,-73.845213
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,2,91.0,0.125,24208.0,24208.0,12000.0,12000.0,12000.0,12000.0,0.7349,,40747.0,2.3764203499644148,11204,40.635444,-73.981202
Mount Sinai Phillips School of Nursing,New York,NY,2,311.0,1.0,,46093.0,,29060.0,,29082.0,0.0073,19750.0,96980.0,1.901134254485461,10035-6354,40.804778,-73.936639
Brittany Beauty Academy,Brooklyn,NY,3,89.0,,,31946.0,,16657.0,,16657.0,0.5706,6333.0,17992.0,7.10226767452201,11209,40.62318,-74.028581
Boricua College,New York,NY,2,391.0,0.806,24213.0,24213.0,13025.0,13025.0,13025.0,13025.0,0.8603,6733.0,35348.0,2.7399569989815546,10032-1560,40.833434,-73.9458
Brittany Beauty Academy,Levittown,NY,3,141.0,,,31946.0,,16657.0,,16657.0,0.5714,6333.0,18753.0,6.814056417639844,11756-1345,40.72479,-73.516164
American Beauty School,Bronx,NY,3,113.0,,,31946.0,,16657.0,,16657.0,0.4865,3500.0,21111.0,6.052958173464071,10462,40.835331,-73.860639
Brooklyn Law School,Brooklyn,NY,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,11201,40.691836,-73.989623
SUNY Broome Community College,Binghamton,NY,1,3055.0,,16640.0,16640.0,8624.0,8624.0,14288.0,14288.0,0.3126,12000.0,39710.0,1.6761521027449005,13901-1001,42.135872,-75.908065
Bryant & Stratton College-Syracuse North,Liverpool,NY,2,458.0,0.3163,25249.0,25249.0,18768.0,18768.0,18768.0,18768.0,0.6204,21549.0,32568.0,3.1010808155244414,13090,43.149337,-76.230807
Bryant & Stratton College-Buffalo,Buffalo,NY,2,743.0,0.2121,24969.0,24969.0,18910.0,18910.0,18910.0,18910.0,0.6923,21549.0,32568.0,3.0666912306558585,14203,42.887197,-78.869108
Bryant & Stratton College-Greece,Rochester,NY,2,363.0,0.1,24114.0,24114.0,20073.0,20073.0,20073.0,20073.0,0.5971,21549.0,32568.0,2.9616801768607224,14612,43.240547,-77.69559
Canisius University,Buffalo,NY,2,1685.0,0.6639,44322.0,44322.0,34500.0,34500.0,34500.0,34500.0,0.322,24250.0,60681.0,2.9216393928906905,14208-1098,42.925206,-78.852577
Capri Cosmetology Learning Centers,Nanuet,NY,3,285.0,,,31946.0,,16657.0,,16657.0,0.4688,5827.0,30190.0,4.232659821132826,10954,41.09909,-74.022421
St Paul's School of Nursing-Queens,Rego Park,NY,3,1056.0,,34498.0,34498.0,17433.0,17433.0,17433.0,17433.0,0.5115,25730.0,104403.0,1.3217244715190177,11374,40.72921,-73.858441
Cayuga County Community College,Auburn,NY,1,1187.0,,16709.0,16709.0,7056.0,7056.0,12336.0,12336.0,0.1634,12000.0,38709.0,1.7266268826371127,13021-3099,42.943726,-76.542867
